2025/01/08 06:00:20 [error] 30#30: *108 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "GET /ja/clients HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083"
2025/01/27 07:31:32 [error] 28#28: *59 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/27 07:33:09 [error] 28#28: *59 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/27 07:39:33 [error] 28#28: *63 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/27 12:42:50 [error] 34#34: *13 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/28 06:19:38 [error] 28#28: *73 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/bills"
2025/01/28 06:37:19 [error] 33#33: *94 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/bills"
2025/01/28 09:01:11 [error] 32#32: *137 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/28 09:04:30 [error] 32#32: *142 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/28 09:09:13 [error] 32#32: *144 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/29 04:09:55 [error] 27#27: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: _, request: "GET /ja/taxRates HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/bills"
2025/01/29 04:10:00 [error] 27#27: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: _, request: "GET /ja/bills HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/billEditUpdate/1500"
2025/01/29 04:10:03 [error] 29#29: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: _, request: "GET /ja/bills HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/billEditUpdate/1500"
2025/01/29 04:13:37 [error] 31#31: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: _, request: "GET /ja/bills HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/billEditUpdate/1500"
2025/01/29 04:15:29 [error] 28#28: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: _, request: "GET /ja/bills HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/billEditUpdate/1500"
2025/02/03 15:26:44 [error] 28#28: *109 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/contractEditUpdate/9/7"
2025/02/03 15:34:12 [error] 30#30: *118 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/contractEditUpdate/9/7"
2025/02/03 16:05:20 [error] 30#30: *144 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/contractEditUpdate/9/7"
2025/02/04 00:32:00 [error] 35#35: *30 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/contractEditUpdate/9/7"
2025/02/04 00:34:24 [error] 35#35: *30 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/contractEditUpdate/9/7"
2025/02/04 00:38:37 [error] 35#35: *30 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/contractEditUpdate/9/7"
2025/02/04 02:55:36 [error] 29#29: *189 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/billEditCreate"
2025/02/15 02:23:19 [error] 29#29: *12 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/02/15 02:26:33 [error] 33#33: *18 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
